id,question,option_a,option_b,option_c,option_d,answer
q16,A router should be used to connect ______.,two different networks,a printer and a local area network,two computers,a computer to a server,A
q17,Which of the following are the basic functions of an operating system? (1) Email management (2) Memory management (3) Input/output management,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",C
q18,Why is a solid state drive (SSD) commonly used in mobile devices instead of a hard disk drive?,The physical size of a SSD is smaller.,The storage capacity of a SSD is smaller.,The data access rate of a SSD is lower.,Mobile devices do not support hard disk drives.,A
q19,Which of the following can help reduce the time needed to access files in a hard disk drive?,Redundant Array of Independent Disks (RAID),Virtual Private Network (VPN),Driver programs,Defragmentation software,D
q20,Read the configuration of a desktop computer below: - Intel Core i7 CPU - 16GB DDR4 RAM - 1TB SSD - 802.11ac Wi-Fi What information can be found out from the configuration? (1) The viewable size of the display unit (2) The maximum data transfer rate of a wireless network (3) The time to start up a computer,(1) only,(2) only,(1) and (3) only,(2) and (3) only,B
q21,Which of the following are the latest trends in hard disk drive development? (1) Lower power consumption (2) Longer lifespan (3) More built-in software provided,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A
q22,Which of the following statements about the fetch-decode-execute cycle in a CPU is correct?,Registers are used in the cycle.,The cycle is an assembly language program.,The sequence of the instructions in the cycle mainly depends on the CPU clock rate.,The cycle is mainly used to perform arithmetic operations.,A
q23,"In a Point-Of-Sale system in a restaurant, which of the following is/are the reason(s) for using thermal printers to print receipts? (1) The receipt printout can be kept longer. (2) It is quiet during printing. (3) The printing time is short.",(1) only,(2) only,(1) and (3) only,(2) and (3) only,D
q24,"At home, Mary logs on to a computer in her office and does some word processing. Which of the following statements about the remote logon is correct?",Both computers should have the same word processing software.,Both computers should have the same firewall.,The remote logon supports data encryption.,Two computers are involved and hence word processing is faster.,C
q25,,,,,,B
q26,Which of the following is not an email protocol?,IMAP,SMTP,POP,FTP,D
q27,"Amy can browse the web site of ABC School through its IP address, but not its URL. What is the possible reason for this?",The corresponding web pages have not been uploaded onto the web server.,The domain name system (DNS) server is temporarily out of service.,The browser in use is not the latest version.,Some plug-ins for the browser in use have not been installed.,B
q28,"When watching videos from a web site using streaming technology, which of the following will be involved? (1) DNS (2) FTP (3) IP",(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",B
q29,,,,,,C
q30,,,,,,A
q31,,,,,,C
q32,,,,,,C
q33,"Suppose that X = 1, Y = 2 and Z = 3. Which of the following Boolean expressions is 'true'?",(X = 1) AND (Y > -2) AND (Z > 3),(X = 1) AND (Y > -2) OR (Z > 3),(X = 1) OR (Y > -2) AND (Z > 3),(X = 1) AND (Y > -2) AND (Z > 3),B
q34,What are the characteristics of using modularity for designing computer solutions? (1) Usually modularity is used to solve simple problems. (2) Modules may be reusable. (3) The development cost is higher. (4) Modules can be independently developed.,(1) and (3) only,(1) and (4) only,(2) and (3) only,(2) and (4) only,D
q35,What are the good ergonomic practices in software design? (1) Fixed font size (2) Appropriate system messages to users (3) Consistent user interface,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",C
q36,Ms Lee is a photographer. Mr Cheung downloads a lot of copyright photos from her web site and uses them in his tutorial school without her approval. What legal consequences are there of doing this? (1) Mr Cheung needs to compensate Ms Lee. (2) Mr Cheung commits a criminal offence. (3) Mr Cheung needs to close down his tutorial school.,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A
q37,Why do we need Secure Sockets Layer (SSL) on the Internet?,An IP address includes at least four values.,The socket for power supply can be protected.,Data transmission can be faster.,Data can be safely transmitted.,D
q38,What is/are the major benefit(s) of using data encryption for transferring confidential information over the Internet? (1) Hackers cannot collect the encrypted data easily. (2) Hackers cannot read the confidential information easily. (3) Hackers cannot delete the confidential information easily.,(1) only,(2) only,(1) and (3) only,(2) and (3) only,B
q39,What is/are the appropriate measure(s) to take to protect the intellectual property rights of photos posted on the Internet? (1) Digital signature (2) Digital watermark (3) Firewall,(1) only,(2) only,(1) and (3) only,(2) and (3) only,B
q40,,,,,,A
