id,question,option_a,option_b,option_c,option_d,answer
q29,"When constructing tables in a web page, which of the following attributes of the tables can be set? (1) Page margin (2) Border (3) Text alignment",(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",C
q30,The sales department of an insurance company wants to improve service to its clients. It asks the IT project manager to establish some web pages for the clients. What should the IT project manager do first?,Define the scope of the service.,Evaluate the IT equipment needed.,Estimate the project completion date.,Set up a project team and recruit programmers.,A
q31,,,,,,D
q32,,,,,,C
q33,,,,,,D
q34,Which of the following public policies can improve the digital divide in Hong Kong? (1) Subsidise low-income families so that they can get Internet access at home. (2) Provide computer equipment to students in need. (3) Give free training courses to citizens who lack basic IT skills.,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",D
q35,"Mary is a teenager and makes a new friend, Ada, through a random search function in a social networking web site. Ada wants to meet Mary the following Monday night at 10 p.m. in a restaurant. Mary's eldest brother advises her not to meet Ada. What is the major reason?",Mary can use another function in the social networking web site to make new friends.,Mary's eldest brother cannot join the meeting.,Ada's identity is not confirmed.,Mary can meet another friend earlier.,C
q36,John does not download patches to upgrade the operating system of his computer. Which of the following statements best describes the possible consequences?,The license of the operating system will soon expire and he will have to re-install it.,The operating system may be more vulnerable to attacks by hackers.,The computer cannot connect to the Internet.,The IP address of the computer may need to be changed.,B
q37,Which of the following can help visually impaired persons to browse the web? (1) Braille display device (2) Web filtering software (3) Screen magnification software,(1) only,(2) only,(1) and (3) only,(2) and (3) only,C
q38,Which of the following statements about copyright protection in Hong Kong is correct?,Ideas are not protected unless they are in the form of expressions or products.,The Customs and Excise Department cannot take legal action against copyright piracy unless the copyright owners file a complaint.,A book cannot be protected unless it is published in Hong Kong.,Computer programs are not protected unless the copyright owners inform the Office of the Government Chief Information Officer (OGCIO).,A
q39,Which of the following actions for desktop computers is/are environmentally-friendly? (1) Enable the power management function. (2) Lower the screen resolution. (3) Use LED monitors instead of CRT monitors.,(1) only,(2) only,(1) and (3) only,(2) and (3) only,C
q40,"In an office network, a technician installs a firewall instead of antivirus software. What is the major reason for this?",The computers in the office can be protected from adware.,The network can be protected from online security threats.,File transfer through the network can be faster.,The network can withstand virus attacks.,B
