id,question,option_a,option_b,option_c,option_d,answer
q24,Which of the following is/are the advantage(s) of setting up a wireless network to replace a wired network? (1) Increased network speed. (2) Enhanced network security. (3) Increased mobility of computers.,(1) only,(3) only,(1) and (2) only,(2) and (3) only,B
q25,Amy wants to buy a colour laser printer for use at home. What specifications should she consider? (1) Brightness (lm) (2) Printing speed (ppm) (3) Resolution (dpi),(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",C
q26,Peter is going to set up a web site for his new company so that customers can access his web site through any one of the following links: web.goodcompany.hk www.goodcompany.hk www.goodcompany.com.hk www.goodcompany.com web.goodcompany.com How many domain names does he need to register?,1,2,3,4,C
q27,,,,,,B
q28,"A web page displays some images. In addition to the names of the image files, what other information will be included in the HTML code of the web page? (1) The paths of the image files (2) The size of the image files (3) The IP address of the server that stores the HTML file",(1) only,(2) only,(1) and (3) only,(2) and (3) only,A
q29,,,,,,D
q30,The problem-solving procedures for developing a computer system are listed below. What is the correct order of the procedures? (1) Tests the system. (2) Defines the problem. (3) Designs the algorithm. (4) Writes the program codes.,(2) > (4) > (3) > (1),(2) > (3) > (4) > (1),(3) > (2) > (4) > (1),(3) > (4) > (2) > (1),B
q31,,,,,,C
q32,,,,,,B
q33,,,,,,A
q34,Which of the following is/are security measure(s) an online bank can use to authenticate customers' identities? (1) Antivirus software (2) Security token (3) Digital watermark,(1) only,(2) only,(1) and (3) only,(2) and (3) only,B
q35,Which of the following may have security risks? (1) Using a public computer in a coffee shop to log on to an online bank (2) Using the Wi-Fi network provided by a shopping centre to check email (3) Using a public computer to check the digital certificate of a web site,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A
q36,Which of the following behaviours may infringe intellectual property rights? (1) Sending an email with a virus to a friend (2) Hacking into an online bank account (3) Posting a scanned newspaper on a personal web site (4) Uploading a video of a TV programme to the Internet,(1) and (2) only,(1) and (4) only,(2) and (3) only,(3) and (4) only,D
q37,What changes have been brought about by the emergence of the Information Age? (1) More office space is needed. (2) New ICT-related jobs appear and change the job market. (3) There are more opportunities to acquire information and to learn new things.,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",C
q38,Ransomware is malware that encrypts victims' computer files and demands a ransom payment to restore them. How can we minimise the impact of ransomware? (1) Creates backups of computer files regularly. (2) Do not open anonymous or phishing email. (3) Do not download pirated copies of computer software through p2p software.,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",D
q39,"What are the major reasons for applying ergonomic design principles to computers in the work environment? (1) Prevents repetitive strain injury. (2) Saves on costs of setting up computers. (3) Provides a customised, adjustable setup for meeting different people's needs.",(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",B
q40,The World Health Organization (WHO) states that 15% of the world's population have disabilities. What can we do for these people to improve the access to ICT significantly?,Gives persons with disabilities notebook computers.,Sets up free computer centres for persons with disabilities to access the Internet.,Develops appropriate tools for persons with disabilities to access ICT.,Provides free ICT training for persons with disabilities.,C
