id,question,option_a,option_b,option_c,option_d,answer
q24,A search engine can automatically return the search results related to the country in which the computer is located. Which of the following discloses this location information?,The network interface card,The bandwidth of the connection,The operating system,The Internet Service Provider,D
q25,,,,,,B
q26,A company develops an internal email system. It adopts HTML format instead of plain text for the email because,the email size is smaller.,browsers can open the email.,text formatting can be applied.,the POP protocol can be used.,C
q27,"In an email system, what is the use of IMAP and SMTP?",IMAP and SMTP are application programs that regulate email transmission.,IMAP and SMTP are the part of the operating system that manages email resources.,IMAP and SMTP are utility programs that improve the efficiency of email transmission.,IMAP and SMTP are sets of rules that determine how email is transmitted.,D
q28,,,,,,A
q29,Which of the following is a function of a switch? (1) Connects computers to form a LAN. (2) Controls the network traffic in a network. (3) Joins two networks. (4) Connects a LAN to the Internet,(1) and (2) only,(3) and (4) only,"(1), (2) and (4) only","(2), (3) and (4) only",A
q30,,,,,,A
q31,,,,,,B
q32,,,,,,B
q33,What is the major advantage of using an array in algorithm design?,The modular approach can be used in the design.,It is useful in iteration design.,The size of an array is flexible.,The memory used is less.,B
q34,Which of the following statements about open source software is correct?,Open source software is written by open source programming languages.,Open source software is executed in open source operating systems.,"The source code can be copied, modified and redistributed freely.",Private companies cannot use open source software to make a profit.,C
q35,,,,,,C
q36,,,,,,D
q37,Which of the following can reduce the threats from using social networking web sites? (1) Block or ignore people that you do not know or trust. (2) Use default privacy settings to restrict access. (3) Only disclose the name and address in the account.,(1) only,(2) only,(1) and (3) only,(2) and (3) only,A
q38,"In a company, all URLs browsed through the office computers are recorded by a proxy server. Which of the following statements is correct?",The URLs should be recorded during office hours only.,The records should be checked by authorised staff only.,The records are the digital property of the staff.,The company has committed a computer crime.,B
q39,"For the sake of their health, users should take a rest after every hour of computer use. A software company wants to improve its word processing software to include this ergonomic feature. When a user uses the software for an hour, the software should (1) display an alert message on the screen. (2) send an alert email to the user. (3) shut down the computer automatically.",(1) only,(2) only,(1) and (3) only,(2) and (3) only,A
q40,Peter uses peer-to-peer file sharing software to download a commercial application program. His friends advise him not to install it. Why? (1) His action will create a digital divide. (2) The application program may be spyware. (3) He may infringe copyright law.,(1) only,(2) only,(1) and (3) only,(2) and (3) only,D
