question_id,permutation_idx,model,predicted_answer,correct_position,original_correct,is_correct,raw_response,question,option_A,option_B,option_C,option_D
2012_q5,0,mistral-small3.2:24b,B,D,D,0,B,"Peter and Mary share a database file X and execute database queries, T1 and T2, respectively. Which of the following activities should the database management system not do? (1) When T1 is reading X, T2 is reading X. (2) When T1 is writing records in X, T2 is writing records in X. (3) When T1 is deleting records in X, T2 is reading X.",(1) only,(2) only,(1) and (3) only,(2) and (3) only
2012_q5,1,mistral-small3.2:24b,A,C,D,0,A. (2) only,"Peter and Mary share a database file X and execute database queries, T1 and T2, respectively. Which of the following activities should the database management system not do? (1) When T1 is reading X, T2 is reading X. (2) When T1 is writing records in X, T2 is writing records in X. (3) When T1 is deleting records in X, T2 is reading X.",(2) only,(1) and (3) only,(2) and (3) only,(1) only
2012_q5,2,mistral-small3.2:24b,D,B,D,0,D,"Peter and Mary share a database file X and execute database queries, T1 and T2, respectively. Which of the following activities should the database management system not do? (1) When T1 is reading X, T2 is reading X. (2) When T1 is writing records in X, T2 is writing records in X. (3) When T1 is deleting records in X, T2 is reading X.",(1) and (3) only,(2) and (3) only,(1) only,(2) only
2012_q5,3,mistral-small3.2:24b,C,A,D,0,C,"Peter and Mary share a database file X and execute database queries, T1 and T2, respectively. Which of the following activities should the database management system not do? (1) When T1 is reading X, T2 is reading X. (2) When T1 is writing records in X, T2 is writing records in X. (3) When T1 is deleting records in X, T2 is reading X.",(2) and (3) only,(1) only,(2) only,(1) and (3) only
2012_q6,0,mistral-small3.2:24b,C,C,C,1,C,Which of the following statements about clicking a hyperlink in a presentation file is correct?,The hyperlink needs to involve HTTP.,"A browser will not open when the hyperlink is ""http://hkeaa.edu.hk/hke.doc"".",A PDF reader will usually open when the hyperlink links to a PDF file.,The presentation file will close automatically when the hyperlink links to another presentation file.
2012_q6,1,mistral-small3.2:24b,B,B,C,1,B,Which of the following statements about clicking a hyperlink in a presentation file is correct?,"A browser will not open when the hyperlink is ""http://hkeaa.edu.hk/hke.doc"".",A PDF reader will usually open when the hyperlink links to a PDF file.,The presentation file will close automatically when the hyperlink links to another presentation file.,The hyperlink needs to involve HTTP.
2012_q6,2,mistral-small3.2:24b,A,A,C,1,A,Which of the following statements about clicking a hyperlink in a presentation file is correct?,A PDF reader will usually open when the hyperlink links to a PDF file.,The presentation file will close automatically when the hyperlink links to another presentation file.,The hyperlink needs to involve HTTP.,"A browser will not open when the hyperlink is ""http://hkeaa.edu.hk/hke.doc""."
2012_q6,3,mistral-small3.2:24b,D,D,C,1,D,Which of the following statements about clicking a hyperlink in a presentation file is correct?,The presentation file will close automatically when the hyperlink links to another presentation file.,The hyperlink needs to involve HTTP.,"A browser will not open when the hyperlink is ""http://hkeaa.edu.hk/hke.doc"".",A PDF reader will usually open when the hyperlink links to a PDF file.
2012_q9,0,mistral-small3.2:24b,A,A,A,1,A,Assume that every household has a residential telephone number. In which of the following database applications could the residential telephone number be used as a key field?,Towngas accounts,Student personal profiles,Personal bank accounts,Library cards
2012_q9,1,mistral-small3.2:24b,D,D,A,1,D,Assume that every household has a residential telephone number. In which of the following database applications could the residential telephone number be used as a key field?,Student personal profiles,Personal bank accounts,Library cards,Towngas accounts
2012_q9,2,mistral-small3.2:24b,C,C,A,1,C,Assume that every household has a residential telephone number. In which of the following database applications could the residential telephone number be used as a key field?,Personal bank accounts,Library cards,Towngas accounts,Student personal profiles
2012_q9,3,mistral-small3.2:24b,B,B,A,1,B,Assume that every household has a residential telephone number. In which of the following database applications could the residential telephone number be used as a key field?,Library cards,Towngas accounts,Student personal profiles,Personal bank accounts
2012_q10,0,mistral-small3.2:24b,D,D,D,1,D,Why should a software suite be used in an IT project? (1) Data used in the project can be shared within the software suite effectively. (2) Data files generated by the software suite are smaller. (3) The project will be in a web-based format.,(2) and (3) only,(2) only,(1) and (3) only,(1) only
2012_q10,1,mistral-small3.2:24b,C,C,D,1,C,Why should a software suite be used in an IT project? (1) Data used in the project can be shared within the software suite effectively. (2) Data files generated by the software suite are smaller. (3) The project will be in a web-based format.,(2) only,(1) and (3) only,(1) only,(2) and (3) only
2012_q10,2,mistral-small3.2:24b,B,B,D,1,B,Why should a software suite be used in an IT project? (1) Data used in the project can be shared within the software suite effectively. (2) Data files generated by the software suite are smaller. (3) The project will be in a web-based format.,(1) and (3) only,(1) only,(2) and (3) only,(2) only
2012_q10,3,mistral-small3.2:24b,A,A,D,1,A. (1) only,Why should a software suite be used in an IT project? (1) Data used in the project can be shared within the software suite effectively. (2) Data files generated by the software suite are smaller. (3) The project will be in a web-based format.,(1) only,(2) and (3) only,(2) only,(1) and (3) only
2012_q11,0,mistral-small3.2:24b,A,A,A,1,A,Which of the following statements about a check digit for a data item is correct?,The check digit cannot find all errors.,The data item should not contain more than 8 characters.,The check digit can correct errors.,The leading character of the data item should be a letter.
2012_q11,1,mistral-small3.2:24b,D,D,A,1,D,Which of the following statements about a check digit for a data item is correct?,The data item should not contain more than 8 characters.,The check digit can correct errors.,The leading character of the data item should be a letter.,The check digit cannot find all errors.
2012_q11,2,mistral-small3.2:24b,C,C,A,1,C,Which of the following statements about a check digit for a data item is correct?,The check digit can correct errors.,The leading character of the data item should be a letter.,The check digit cannot find all errors.,The data item should not contain more than 8 characters.
2012_q11,3,mistral-small3.2:24b,B,B,A,1,B,Which of the following statements about a check digit for a data item is correct?,The leading character of the data item should be a letter.,The check digit cannot find all errors.,The data item should not contain more than 8 characters.,The check digit can correct errors.
2012_q12,0,mistral-small3.2:24b,D,D,D,1,D,"When editing a document, which of the following word processing features can enhance its readability? (1) Tables (2) Find and replace (3) Footnotes",(2) only,(3) only,(1) and (2) only,(1) and (3) only
2012_q12,1,mistral-small3.2:24b,C,C,D,1,C. (1) and (3) only,"When editing a document, which of the following word processing features can enhance its readability? (1) Tables (2) Find and replace (3) Footnotes",(3) only,(1) and (2) only,(1) and (3) only,(2) only
2012_q12,2,mistral-small3.2:24b,B,B,D,1,B,"When editing a document, which of the following word processing features can enhance its readability? (1) Tables (2) Find and replace (3) Footnotes",(1) and (2) only,(1) and (3) only,(2) only,(3) only
2012_q12,3,mistral-small3.2:24b,A,A,D,1,A,"When editing a document, which of the following word processing features can enhance its readability? (1) Tables (2) Find and replace (3) Footnotes",(1) and (3) only,(2) only,(3) only,(1) and (2) only
2012_q14,0,mistral-small3.2:24b,D,D,D,1,D,Which of the following is the main development trend for display units in desktop computers?,USB port,CPU computational power,User-friendly driver programs,Energy saving
2012_q14,1,mistral-small3.2:24b,C,C,D,1,C,Which of the following is the main development trend for display units in desktop computers?,CPU computational power,User-friendly driver programs,Energy saving,USB port
2012_q14,2,mistral-small3.2:24b,B,B,D,1,B,Which of the following is the main development trend for display units in desktop computers?,User-friendly driver programs,Energy saving,USB port,CPU computational power
2012_q14,3,mistral-small3.2:24b,A,A,D,1,A,Which of the following is the main development trend for display units in desktop computers?,Energy saving,USB port,CPU computational power,User-friendly driver programs
2012_q15,0,mistral-small3.2:24b,D,D,D,1,D. (1) only,Tom currently uses a software package on a desktop computer. He tries to install this software on his tablet computer but fails. Why? (1) The tablet computer uses a different operating system. (2) The tablet computer uses a virtual keyboard. (3) The tablet computer uses a solid-state drive.,(2) and (3) only,(2) only,(1) and (3) only,(1) only
2012_q15,1,mistral-small3.2:24b,C,C,D,1,C. (1) only,Tom currently uses a software package on a desktop computer. He tries to install this software on his tablet computer but fails. Why? (1) The tablet computer uses a different operating system. (2) The tablet computer uses a virtual keyboard. (3) The tablet computer uses a solid-state drive.,(2) only,(1) and (3) only,(1) only,(2) and (3) only
2012_q15,2,mistral-small3.2:24b,B,B,D,1,B. (1) only,Tom currently uses a software package on a desktop computer. He tries to install this software on his tablet computer but fails. Why? (1) The tablet computer uses a different operating system. (2) The tablet computer uses a virtual keyboard. (3) The tablet computer uses a solid-state drive.,(1) and (3) only,(1) only,(2) and (3) only,(2) only
2012_q15,3,mistral-small3.2:24b,A,A,D,1,A. (1) only,Tom currently uses a software package on a desktop computer. He tries to install this software on his tablet computer but fails. Why? (1) The tablet computer uses a different operating system. (2) The tablet computer uses a virtual keyboard. (3) The tablet computer uses a solid-state drive.,(1) only,(2) and (3) only,(2) only,(1) and (3) only
2012_q16,0,mistral-small3.2:24b,C,C,C,1,C. (2) and (3) only,Why do many readers like using mobile devices to read books? (1) The ergonomic design of mobile devices helps relieve eye strain. (2) Mobile devices provide various functions which make reading convenient. (3) It is convenient for carrying a lot of books.,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)"
2012_q16,1,mistral-small3.2:24b,B,B,C,1,B,Why do many readers like using mobile devices to read books? (1) The ergonomic design of mobile devices helps relieve eye strain. (2) Mobile devices provide various functions which make reading convenient. (3) It is convenient for carrying a lot of books.,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",(1) and (2) only
2012_q16,2,mistral-small3.2:24b,A,A,C,1,A. (2) and (3) only,Why do many readers like using mobile devices to read books? (1) The ergonomic design of mobile devices helps relieve eye strain. (2) Mobile devices provide various functions which make reading convenient. (3) It is convenient for carrying a lot of books.,(2) and (3) only,"(1), (2) and (3)",(1) and (2) only,(1) and (3) only
2012_q16,3,mistral-small3.2:24b,D,D,C,1,D. (2) and (3) only,Why do many readers like using mobile devices to read books? (1) The ergonomic design of mobile devices helps relieve eye strain. (2) Mobile devices provide various functions which make reading convenient. (3) It is convenient for carrying a lot of books.,"(1), (2) and (3)",(1) and (2) only,(1) and (3) only,(2) and (3) only
2012_q17,0,mistral-small3.2:24b,D,D,D,1,D,Carey wants to upgrade the DDR II 2G 667 MHz RAM of her computer to DDR III 2G 1333MHz RAM with a higher data transfer rate. Which of the following features should be considered?,ROM size,CPU computational power,Power consumption,Motherboard design
2012_q17,1,mistral-small3.2:24b,C,C,D,1,C,Carey wants to upgrade the DDR II 2G 667 MHz RAM of her computer to DDR III 2G 1333MHz RAM with a higher data transfer rate. Which of the following features should be considered?,CPU computational power,Power consumption,Motherboard design,ROM size
2012_q17,2,mistral-small3.2:24b,B,B,D,1,B,Carey wants to upgrade the DDR II 2G 667 MHz RAM of her computer to DDR III 2G 1333MHz RAM with a higher data transfer rate. Which of the following features should be considered?,Power consumption,Motherboard design,ROM size,CPU computational power
2012_q17,3,mistral-small3.2:24b,A,A,D,1,A,Carey wants to upgrade the DDR II 2G 667 MHz RAM of her computer to DDR III 2G 1333MHz RAM with a higher data transfer rate. Which of the following features should be considered?,Motherboard design,ROM size,CPU computational power,Power consumption
2012_q18,0,mistral-small3.2:24b,B,B,B,1,B,What is the main purpose of having a memory cache in a CPU?,It increases the total memory storage capacity.,It facilitates the CPU processors on the motherboard.,It supports multi-core processors operating systems.,It supports multi-tasking operating systems.
2012_q18,1,mistral-small3.2:24b,C,A,B,0,C,What is the main purpose of having a memory cache in a CPU?,It facilitates the CPU processors on the motherboard.,It supports multi-core processors operating systems.,It supports multi-tasking operating systems.,It increases the total memory storage capacity.
2012_q18,2,mistral-small3.2:24b,D,D,B,1,D,What is the main purpose of having a memory cache in a CPU?,It supports multi-core processors operating systems.,It supports multi-tasking operating systems.,It increases the total memory storage capacity.,It facilitates the CPU processors on the motherboard.
2012_q18,3,mistral-small3.2:24b,C,C,B,1,C,What is the main purpose of having a memory cache in a CPU?,It supports multi-tasking operating systems.,It increases the total memory storage capacity.,It facilitates the CPU processors on the motherboard.,It supports multi-core processors operating systems.
2012_q19,0,mistral-small3.2:24b,C,C,C,1,C,"When buying a wireless broadband router for a network at home, which of the following considerations is not necessary?",The data transfer rate of the broadband connection,Security protocols,The IP address of the router,Coverage of the router
2012_q19,1,mistral-small3.2:24b,B,B,C,1,B,"When buying a wireless broadband router for a network at home, which of the following considerations is not necessary?",Security protocols,The IP address of the router,Coverage of the router,The data transfer rate of the broadband connection
2012_q19,2,mistral-small3.2:24b,A,A,C,1,A,"When buying a wireless broadband router for a network at home, which of the following considerations is not necessary?",The IP address of the router,Coverage of the router,The data transfer rate of the broadband connection,Security protocols
2012_q19,3,mistral-small3.2:24b,D,D,C,1,D,"When buying a wireless broadband router for a network at home, which of the following considerations is not necessary?",Coverage of the router,The data transfer rate of the broadband connection,Security protocols,The IP address of the router
2012_q20,0,mistral-small3.2:24b,A,A,A,1,A. (1) and (3) only,Carol uses a digital camera to take photos of her school hall. The photos will be uploaded and shown on the school's web pages. Which of the following image file types are suitable for her to use? (1) PNG (2) GIF (3) JPG (4) TIFF,(1) and (3) only,(1) and (4) only,(2) and (3) only,(2) and (4) only
2012_q20,1,mistral-small3.2:24b,D,D,A,1,D. (1) and (3) only,Carol uses a digital camera to take photos of her school hall. The photos will be uploaded and shown on the school's web pages. Which of the following image file types are suitable for her to use? (1) PNG (2) GIF (3) JPG (4) TIFF,(1) and (4) only,(2) and (3) only,(2) and (4) only,(1) and (3) only
2012_q20,2,mistral-small3.2:24b,C,C,A,1,C. (1) and (3) only,Carol uses a digital camera to take photos of her school hall. The photos will be uploaded and shown on the school's web pages. Which of the following image file types are suitable for her to use? (1) PNG (2) GIF (3) JPG (4) TIFF,(2) and (3) only,(2) and (4) only,(1) and (3) only,(1) and (4) only
2012_q20,3,mistral-small3.2:24b,B,B,A,1,B. (1) and (3) only,Carol uses a digital camera to take photos of her school hall. The photos will be uploaded and shown on the school's web pages. Which of the following image file types are suitable for her to use? (1) PNG (2) GIF (3) JPG (4) TIFF,(2) and (4) only,(1) and (3) only,(1) and (4) only,(2) and (3) only
2012_q21,0,mistral-small3.2:24b,B,B,B,1,B,"Carol uses a digital camera to take photos of her school hall. The photos will be uploaded and shown on the school's web pages. Before uploading a photo, what should Carol do?","If the file size of the photo is very large, she should divide it into small files for uploading.",She should reduce the photo size to fit the display.,She should adjust the resolution of the photo so that it is as high as possible,She should adjust the number of colours shown in the photo to the highest number possible
2012_q21,1,mistral-small3.2:24b,A,A,B,1,A,"Carol uses a digital camera to take photos of her school hall. The photos will be uploaded and shown on the school's web pages. Before uploading a photo, what should Carol do?",She should reduce the photo size to fit the display.,She should adjust the resolution of the photo so that it is as high as possible,She should adjust the number of colours shown in the photo to the highest number possible,"If the file size of the photo is very large, she should divide it into small files for uploading."
2012_q21,2,mistral-small3.2:24b,D,D,B,1,D,"Carol uses a digital camera to take photos of her school hall. The photos will be uploaded and shown on the school's web pages. Before uploading a photo, what should Carol do?",She should adjust the resolution of the photo so that it is as high as possible,She should adjust the number of colours shown in the photo to the highest number possible,"If the file size of the photo is very large, she should divide it into small files for uploading.",She should reduce the photo size to fit the display.
2012_q21,3,mistral-small3.2:24b,C,C,B,1,C,"Carol uses a digital camera to take photos of her school hall. The photos will be uploaded and shown on the school's web pages. Before uploading a photo, what should Carol do?",She should adjust the number of colours shown in the photo to the highest number possible,"If the file size of the photo is very large, she should divide it into small files for uploading.",She should reduce the photo size to fit the display.,She should adjust the resolution of the photo so that it is as high as possible
2012_q22,0,mistral-small3.2:24b,C,C,C,1,C. (2) and (3) only,Henry lives in Hong Kong. He likes bags made in Europe so he buys a bag through the online shopping web site of a shop in France. What are the possible reasons for Henry's choice to buy the bag online? (1) He can select and buy the bag during office hours in France. (2) There are many different kinds of bags for Henry to choose from. (3) The bag is not for sale in Hong Kong. (4) He has a credit card to pay for it.,(1) and (3) only,(1) and (4) only,(2) and (3) only,(2) and (4) only
2012_q22,1,mistral-small3.2:24b,B,B,C,1,B. (2) and (3) only,Henry lives in Hong Kong. He likes bags made in Europe so he buys a bag through the online shopping web site of a shop in France. What are the possible reasons for Henry's choice to buy the bag online? (1) He can select and buy the bag during office hours in France. (2) There are many different kinds of bags for Henry to choose from. (3) The bag is not for sale in Hong Kong. (4) He has a credit card to pay for it.,(1) and (4) only,(2) and (3) only,(2) and (4) only,(1) and (3) only
2012_q22,2,mistral-small3.2:24b,A,A,C,1,A. (2) and (3) only,Henry lives in Hong Kong. He likes bags made in Europe so he buys a bag through the online shopping web site of a shop in France. What are the possible reasons for Henry's choice to buy the bag online? (1) He can select and buy the bag during office hours in France. (2) There are many different kinds of bags for Henry to choose from. (3) The bag is not for sale in Hong Kong. (4) He has a credit card to pay for it.,(2) and (3) only,(2) and (4) only,(1) and (3) only,(1) and (4) only
2012_q22,3,mistral-small3.2:24b,D,D,C,1,D. (2) and (3) only,Henry lives in Hong Kong. He likes bags made in Europe so he buys a bag through the online shopping web site of a shop in France. What are the possible reasons for Henry's choice to buy the bag online? (1) He can select and buy the bag during office hours in France. (2) There are many different kinds of bags for Henry to choose from. (3) The bag is not for sale in Hong Kong. (4) He has a credit card to pay for it.,(2) and (4) only,(1) and (3) only,(1) and (4) only,(2) and (3) only
2012_q23,0,mistral-small3.2:24b,B,B,B,1,B. (1) and (4) only,Henry lives in Hong Kong. He likes bags made in Europe so he buys a bag through the online shopping web site of a shop in France. There are different kinds of online shopping web sites. What features do they usually have? (1) Electronic Fund Transfer (2) A peer-to-peer (p2p) network (3) Mainframe computers (4) A Database Management System (DBMS),(1) and (3) only,(1) and (4) only,(2) and (3) only,(2) and (4) only
2012_q23,1,mistral-small3.2:24b,A,A,B,1,A. (1) and (4) only,Henry lives in Hong Kong. He likes bags made in Europe so he buys a bag through the online shopping web site of a shop in France. There are different kinds of online shopping web sites. What features do they usually have? (1) Electronic Fund Transfer (2) A peer-to-peer (p2p) network (3) Mainframe computers (4) A Database Management System (DBMS),(1) and (4) only,(2) and (3) only,(2) and (4) only,(1) and (3) only
2012_q23,2,mistral-small3.2:24b,D,D,B,1,D. (1) and (4) only,Henry lives in Hong Kong. He likes bags made in Europe so he buys a bag through the online shopping web site of a shop in France. There are different kinds of online shopping web sites. What features do they usually have? (1) Electronic Fund Transfer (2) A peer-to-peer (p2p) network (3) Mainframe computers (4) A Database Management System (DBMS),(2) and (3) only,(2) and (4) only,(1) and (3) only,(1) and (4) only
2012_q23,3,mistral-small3.2:24b,C,C,B,1,C. (1) and (4) only,Henry lives in Hong Kong. He likes bags made in Europe so he buys a bag through the online shopping web site of a shop in France. There are different kinds of online shopping web sites. What features do they usually have? (1) Electronic Fund Transfer (2) A peer-to-peer (p2p) network (3) Mainframe computers (4) A Database Management System (DBMS),(2) and (4) only,(1) and (3) only,(1) and (4) only,(2) and (3) only
2012_q24,0,mistral-small3.2:24b,B,B,B,1,B. (2) only,Which of the following can enhance the security of online banking? (1) Remote logon (2) Tokens (3) Peer-to-peer network,(1) only,(2) only,(1) and (3) only,(2) and (3) only
2012_q24,1,mistral-small3.2:24b,A,A,B,1,A. (2) only,Which of the following can enhance the security of online banking? (1) Remote logon (2) Tokens (3) Peer-to-peer network,(2) only,(1) and (3) only,(2) and (3) only,(1) only
2012_q24,2,mistral-small3.2:24b,D,D,B,1,D. (2) only,Which of the following can enhance the security of online banking? (1) Remote logon (2) Tokens (3) Peer-to-peer network,(1) and (3) only,(2) and (3) only,(1) only,(2) only
2012_q24,3,mistral-small3.2:24b,C,C,B,1,C. (2) only,Which of the following can enhance the security of online banking? (1) Remote logon (2) Tokens (3) Peer-to-peer network,(2) and (3) only,(1) only,(2) only,(1) and (3) only
2012_q25,0,mistral-small3.2:24b,B,B,B,1,B,Why should network interface cards (NICs) be used in a computer network? (1) The network needs to support data transfer at 10GB per second. (2) NICs convert analog signals into digital signals and vice versa.,(1) only,(2) only,(1) and (3) only,(2) and (3) only
2012_q25,1,mistral-small3.2:24b,D,A,B,0,D,Why should network interface cards (NICs) be used in a computer network? (1) The network needs to support data transfer at 10GB per second. (2) NICs convert analog signals into digital signals and vice versa.,(2) only,(1) and (3) only,(2) and (3) only,(1) only
2012_q25,2,mistral-small3.2:24b,C,D,B,0,C. (1) only,Why should network interface cards (NICs) be used in a computer network? (1) The network needs to support data transfer at 10GB per second. (2) NICs convert analog signals into digital signals and vice versa.,(1) and (3) only,(2) and (3) only,(1) only,(2) only
2012_q25,3,mistral-small3.2:24b,C,C,B,1,C,Why should network interface cards (NICs) be used in a computer network? (1) The network needs to support data transfer at 10GB per second. (2) NICs convert analog signals into digital signals and vice versa.,(2) and (3) only,(1) only,(2) only,(1) and (3) only
2012_q26,0,mistral-small3.2:24b,C,C,C,1,C,"When using Internet search engines, it is better to include operators like '-' in search strings because",The search time can be shorter.,The search results include the titles of web pages only.,The search results can be more relevant.,The search results can include both local and foreign web sites.
2012_q26,1,mistral-small3.2:24b,B,B,C,1,B,"When using Internet search engines, it is better to include operators like '-' in search strings because",The search results include the titles of web pages only.,The search results can be more relevant.,The search results can include both local and foreign web sites.,The search time can be shorter.
2012_q26,2,mistral-small3.2:24b,A,A,C,1,A,"When using Internet search engines, it is better to include operators like '-' in search strings because",The search results can be more relevant.,The search results can include both local and foreign web sites.,The search time can be shorter.,The search results include the titles of web pages only.
2012_q26,3,mistral-small3.2:24b,D,D,C,1,D,"When using Internet search engines, it is better to include operators like '-' in search strings because",The search results can include both local and foreign web sites.,The search time can be shorter.,The search results include the titles of web pages only.,The search results can be more relevant.
2012_q27,0,mistral-small3.2:24b,A,A,A,1,A,"At home, Mary can access the HKEEA's web site by entering http://www.hkeaa.edu.hk, but she can do it by entering http://210.0.205.228. Why?",The DNS server is out of service.,The web server is out of service.,Her web browser needs an extra plug-in.,The router used at home is out of order.
2012_q27,1,mistral-small3.2:24b,D,D,A,1,D,"At home, Mary can access the HKEEA's web site by entering http://www.hkeaa.edu.hk, but she can do it by entering http://210.0.205.228. Why?",The web server is out of service.,Her web browser needs an extra plug-in.,The router used at home is out of order.,The DNS server is out of service.
2012_q27,2,mistral-small3.2:24b,C,C,A,1,C,"At home, Mary can access the HKEEA's web site by entering http://www.hkeaa.edu.hk, but she can do it by entering http://210.0.205.228. Why?",Her web browser needs an extra plug-in.,The router used at home is out of order.,The DNS server is out of service.,The web server is out of service.
2012_q27,3,mistral-small3.2:24b,B,B,A,1,B,"At home, Mary can access the HKEEA's web site by entering http://www.hkeaa.edu.hk, but she can do it by entering http://210.0.205.228. Why?",The router used at home is out of order.,The DNS server is out of service.,The web server is out of service.,Her web browser needs an extra plug-in.
2012_q28,0,mistral-small3.2:24b,D,B,B,0,D,John can view an online video on the computer at home but not on the computer in his school. Why?,The operating system does not support the video playback.,The browsers does not support the video playback.,The video is not in HTML format.,The maximum data transfer rate of the school network is low.
2012_q28,1,mistral-small3.2:24b,C,A,B,0,C,John can view an online video on the computer at home but not on the computer in his school. Why?,The browsers does not support the video playback.,The video is not in HTML format.,The maximum data transfer rate of the school network is low.,The operating system does not support the video playback.
2012_q28,2,mistral-small3.2:24b,B,D,B,0,B,John can view an online video on the computer at home but not on the computer in his school. Why?,The video is not in HTML format.,The maximum data transfer rate of the school network is low.,The operating system does not support the video playback.,The browsers does not support the video playback.
2012_q28,3,mistral-small3.2:24b,A,C,B,0,A,John can view an online video on the computer at home but not on the computer in his school. Why?,The maximum data transfer rate of the school network is low.,The operating system does not support the video playback.,The browsers does not support the video playback.,The video is not in HTML format.
2012_q29,0,mistral-small3.2:24b,D,D,D,1,D,"In an IT project, Tom has written the source code. He tests it with valid input data items. What should he do next?",Check the modularity of the program design.,Write the manual.,Draw the flowchart.,Continue to test the program with invalid data items.
2012_q29,1,mistral-small3.2:24b,C,C,D,1,C,"In an IT project, Tom has written the source code. He tests it with valid input data items. What should he do next?",Write the manual.,Draw the flowchart.,Continue to test the program with invalid data items.,Check the modularity of the program design.
2012_q29,2,mistral-small3.2:24b,B,B,D,1,B,"In an IT project, Tom has written the source code. He tests it with valid input data items. What should he do next?",Draw the flowchart.,Continue to test the program with invalid data items.,Check the modularity of the program design.,Write the manual.
